id,title,year,source_id,rank,score,my_decision,total_decisions,include_count,exclude_count,maybe_count,has_conflict,final_decision,consensus_comment,consensus_resolved_by,consensus_resolved_at,consensus_is_auto,labels,my_note
471730,2020 Vision,2010,173,,,E,1,0,1,0,False,E,,,2026-05-28T17:42:20.905046+00:00,True,CE3,
471649,A case study of API redesign for improved usability,2008,173,,,E,1,0,1,0,False,E,,,2026-05-28T17:42:19.230970+00:00,True,CI1,
471744,A Comparative Case Study on Augmented Reality and AI Chatbots,2024,173,,,E,1,0,1,0,False,E,,,2026-05-28T17:42:21.278108+00:00,True,CE3,
471633,A comparison of questionnaire-based and GUI-based requirements gathering,2000,173,,,E,1,0,1,0,False,E,,,2026-05-28T17:42:18.909218+00:00,True,CI1,
471678,"A Comprehensive Framework for Intelligent, Scalable, and Performance-Optimized Software Development",2025,173,,,E,1,0,1,0,False,E,,,2026-05-28T17:42:19.768795+00:00,True,CE3,
471704,A decision-oriented approach to system design and development,1993,173,,,E,1,0,1,0,False,E,,,2026-05-28T17:42:20.346818+00:00,True,CI1,
471698,A Grid-Enabled Virtual Screening Gateway,2014,173,,,E,1,0,1,0,False,E,,,2026-05-28T17:42:20.234021+00:00,True,CE3,
471788,AHP Hierarchical Analysis based Intelligent Jump Rope Design Research,2025,172,,,E,1,0,1,0,False,E,,,2026-05-28T17:42:22.218219+00:00,True,CE3,
471806,Aligning healthcare innovation and software requirements through design thinking,2016,172,,,E,1,0,1,0,False,E,,,2026-05-28T17:42:22.713865+00:00,True,CE2,
471629,A Model-Driven Requirements Engineering Method for Human-Centered Digitalisation of Agriculture,2024,173,,,E,1,0,1,0,False,E,,,2026-06-18T17:57:19.774837+00:00,True,CE7,
471616,Analysis and Design of Agricultural Marketplace Using User Experience,2020,173,,,E,1,0,1,0,False,E,,,2026-05-28T17:42:18.397639+00:00,True,CE3,
471807,Analyzing value co-creation in service systems: contribution from GORE,2011,172,,,E,1,0,1,0,False,E,,,2026-06-18T17:58:15.019543+00:00,True,CE7,
