orcid,display_name,affiliation,country,works_in_review
0000-0003-0619-6027,Daniel Méndez,Blekinge Institute of Technology,SE,1
0000-0001-8297-5052,Bradley Camburn,Singapore University of Technology and Design,SG,1
0000-0003-3072-0108,Alessandro Mazzei,University of Turin,IT,1
0000-0002-5704-4173,Foutse Khomh,Polytechnique Montréal,CA,1
0000-0002-8482-7552,Cristina Manresa-Yee,Universitat de les Illes Balears,ES,1
,Eliezer Kantorowitz,Technion – Israel Institute of Technology,IL,1
,Michael Sengpiel,University of Lübeck,DE,1
0000-0003-4530-8685,Nikolina Nikolova,Sofia University "St. Kliment Ohridski",BG,1
0000-0001-8071-4473,Sinung Suakanto,Telkom University,ID,1
,Soo Shi Tzuaan,MIMOS (Malaysia),MY,1
0000-0002-6293-7419,Rafael Chanin,Pontifícia Universidade Católica do Rio Grande do Sul,BR,1
,P. Sai Kiran,Koneru Lakshmaiah Education Foundation,IN,1
0000-0003-3029-8146,Jianan Jiang,Hunan University,CN,1
,Yangpeng Zhu,Xi'an Shiyou University,CN,1
0000-0002-1550-0513,Herman Tolle,University of Brawijaya,ID,1
0000-0002-4360-2226,Pekka Abrahamsson,Free University of Bozen-Bolzano,IT,1
0000-0003-0863-4000,Atanas Boev,Tampere University of Applied Sciences,FI,1
,Jayanth Potluri,,,1
,Allya Paramita Koesoema,Bandung Institute of Technology,ID,1
,Lasanthi De Silva,University of Colombo,LK,1
0000-0003-3567-9300,Krzysztof Wnuk,Blekinge Institute of Technology,SE,1
,Du Xiao,Singapore University of Technology and Design,SG,1
,Agustín Ullón-Ramírez,Universidad de Ciencias y Humanidades,PE,1
0000-0002-3843-263X,In‐Young Ko,Korea Advanced Institute of Science and Technology,KR,1
0000-0001-6364-5808,Jörg Thomaschewski,University of Applied Sciences Emden Leer,DE,1
,Assaf Krebs,Shenkar College of Engineering and Design,IL,1
0000-0002-5055-9115,Laili Wahyunita,Bandung Institute of Technology,ID,1
0000-0002-8148-4654,Allard J. van Altena,University of Amsterdam,NL,1
0000-0002-7396-8843,Tarmo Robal,Tallinn University of Technology,EE,1
0009-0009-3518-6187,Arifa Fauziya,Bandung Institute of Technology,ID,1
,Mira Kania Sabaria,Telkom University,ID,1
,K. Balaji,Dr. M.G.R. Educational and Research Institute,IN,1
0000-0001-9686-1726,Yu Liu,Clarkson University,US,1
,Tomas E. Ward,Dublin City University,IE,1
0000-0001-5147-8096,Rashina Hoda,University of Auckland,NZ,1
0000-0003-2028-2319,Enrico Brunetti,University of Turin,IT,1
,Vinh Tran,University of Massachusetts Lowell,US,1
,Daria Cantù,,,1
0000-0002-0435-5971,Jan DeWaters,Clarkson University,US,1
0000-0001-8550-1135,Rafael Parizi,Instituto Federal Farroupilha,BR,1
0000-0002-5583-7655,Shihong Huang,University of California  Riverside,US,1
,Suman Chahar,Maharishi Markandeshwar University  Mullana,IN,1
,Jocelyn O. Ampaguey,Tobruk University,,1
,Mahrukh Sameen Mirza,University of Houston - Clear Lake,US,1
0000-0003-4536-2446,Swaroop Joshi,Birla Institute of Technology and Science  Pilani,IN,1
,Marilou M. Gravides,Tobruk University,,1
,Rieko Yamamoto,Fujitsu (Japan),JP,1
,Nur Anisa,Binus University,ID,1
0000-0001-8116-4522,Alexander Meschtscherjakov,University of Salzburg,AT,1
0000-0001-7213-4006,Bram Adams,Polytechnique Montréal,CA,1
0009-0000-6382-1074,Luiz Miguel Naldi Dias,Universidade Tecnológica Federal do Paraná,BR,1
0000-0003-0600-1605,T. Sripriya,,,1
,Torsten Ronneberger,Audi (Germany),DE,1
0000-0001-9168-4388,Edson Oliveira,Universidade Federal do Amazonas,BR,1
0009-0004-4259-6540,Farzana Akter,,,1
,Suchanon Sengchuan,Burapha University,TH,1
,Manjula Bhuma,Karolinska Institutet,SE,1
,Dominik Magin,Fraunhofer Institute for Experimental Software Engineering,DE,1
,Vanessa Lopes Abreu,Universidade Federal do Pará,BR,1
0000-0003-0440-8145,Thomas Meneweger,University of Salzburg,AT,1
,S. Palnati,,,1
,Ziyi Han,Xi'an University of Technology,CN,1
0000-0002-5827-865X,Kiran Chand Ravi,,,1
0000-0003-1466-7386,Chetan Arora,University of Luxembourg,LU,1
,Mohammad Mahdi Jaghoori,Academic Medical Center,NL,1
0000-0002-5076-0695,Larisa Dunai,Universitat Politècnica de València,ES,1
0009-0000-5742-6182,Vladimir D. Beduya,Mapúa University,PH,1
,Chen Huli,Shenkar College of Engineering and Design,IL,1
0000-0002-8014-8819,José-Guillermo Hernández-Calderón,Universidad Veracruzana,MX,1
0000-0001-8991-747X,Yingfei Xiong,Peking University,CN,1
,Jan Karstens,,,1
,Carmen Maidantchik,Universidade Federal do Rio de Janeiro,BR,1
0000-0001-6311-3588,Mohamed Khalgui,Jinan University,CN,1
0000-0001-9061-8952,Valerie Hendrix,Lawrence Berkeley National Laboratory,US,1
,Safed Israel,Bar-Ilan University,IL,1
,N. Barrington,,,1
,Anu Pinnamaneni,,,1
,P. Rajeswari,,,1
,Raghad Alhashemi,King Abdulaziz University,SA,1
,Sean Ashley L. Calaguas,Mapúa University,PH,1
,Malte Behrendt,RWTH Aachen University,DE,1
0000-0001-6381-8326,Konstantinos Votis,Information Technologies Institute,GR,1
0009-0001-0839-1021,Francesca Jacinthe C. Navarro,Mapúa University,PH,1
,Vitalii,Xi'an Shiyou University,CN,1
,Hosna Hooshyar,Free University of Bozen-Bolzano,IT,1
,Pipit Rahmayanti,IPB University,ID,1
,Arfan Mansoor,Technische Universität Ilmenau,DE,1
0000-0002-4125-2840,Chengchao Liang,Chongqing University of Posts and Telecommunications,CN,1
,Maria Katsikerou,Open University of Cyprus,CY,1
,K.D. Mueller-Glaser,,,1
0000-0002-3873-163X,M. Lin,,,1
,Daniela Busse,GALAB Laboratories (Germany),DE,1
0000-0001-8764-1465,Jevgeni Marenkov,Tallinn University of Technology,EE,1
,Katherine Paredes-Guerrero,Universidad de Ciencias y Humanidades,PE,1
0000-0002-5190-7839,Weidong Huang,University of Technology Sydney,AU,1
0000-0002-5493-2837,Ita Richardson,University of Limerick,IE,1
0000-0001-5953-9375,Shin’ichi Fukuzumi,NEC (Japan),JP,1
0000-0001-8268-3957,Francesca Alloatti,University of Turin,IT,1
0000-0002-4686-3181,Gang Huang,Peking University,CN,1
0000-0002-4820-0568,Paolo Zampognaro,Ingegneria dei Sistemi (Italy),IT,1
0000-0002-3639-1467,Pao‐Ann Hsiung,National Chung Cheng University,TW,1
,Manuel Nagl,Universität für Weiterbildung Krems,AT,1
,Martina Beck,Dr. August Wolff (Germany),DE,1
0000-0003-3582-8097,Larissa Taveira Ferraz,,,1
0000-0001-5272-6346,Cícero Costa Quarto,Universidade Estadual do Maranhão,BR,1
0000-0002-6612-2049,Shaundra Daily,Clemson University,US,1
0000-0003-3275-2293,Ellen Francine Barbosa,Universidade de São Paulo,BR,1
0000-0002-4410-1095,Aynur Guluzade,Fraunhofer Institute for Applied Information Technology,DE,1
,Peter Bennett,University of Bristol,GB,1
0000-0002-9975-9791,Oscar Nierstrasz,University of Geneva,CH,1
,W. Stork,,,1
0009-0007-1469-9835,Frank Shipman,Texas A&M University,US,1
,Nikolaos Katertsidis,Information Technologies Institute,GR,1
,David Callele,University of Saskatchewan,CA,1
0000-0002-4913-7513,Márcia Lima,Universidade do Estado do Amazonas,BR,1
,T. Guenkova-Luy,Universität Ulm,DE,1
0000-0001-7119-1412,Tuure Tuunanen,University of Jyväskylä,FI,1
0000-0002-3092-244X,Sylvie Bissonnette,,,1
0000-0001-7648-6746,Luís Carlos Costa Fonseca,Universidade Estadual do Maranhão,BR,1
0000-0003-4750-7864,Taimur Bakhshi,National University of Computer and Emerging Sciences,PK,1
0000-0002-3342-1085,Cristian Barruè,Universitat Politècnica de Catalunya,ES,1
0000-0003-3039-0073,Mangilal Agarwal,University of Indianapolis,US,1
,Deepak Venkatesan,,,1
,A. G. L. D. P. Amarasinghe,Sri Lanka Institute of Information Technology,LK,1
0000-0002-4286-7011,Matheus Prestes,Pontifícia Universidade Católica do Rio Grande do Sul,BR,1
0000-0002-1554-0785,Maurice Mulvenna,University of Ulster,GB,1
,Nuoran Li,Puyang Vocational and Technical College,CN,1
0000-0001-9004-5453,Muhammad Iqbal,Higher Colleges of Technology,AE,1
0000-0003-2003-2440,Sang-Hyun Lee,Korea Institute of Science & Technology Information,KR,1
0000-0002-0316-1489,Satyaveer Singh,Maharishi Markandeshwar University  Mullana,IN,1
0000-0003-1547-5503,Zhiwu Li,Xidian University,CN,1
0000-0003-0192-3096,Ulises Cortés,Universitat Politècnica de Catalunya,ES,1
,Stephen Forshaw,Lancaster University,GB,1
,Dudhir Dixit,University of California  Davis,US,1
0000-0002-4663-2113,Konstantinos Tarabanis,University of Macedonia,GR,1
0000-0002-2570-929X,Denis Gillet,École Polytechnique Fédérale de Lausanne,CH,1
,Beena Prabhu,Siemens (Germany),DE,1
0000-0003-0407-9804,Anh Duc Nguyen,University of South-Eastern Norway,NO,1
0000-0001-9631-8969,Sabrina Marczak,Pontifícia Universidade Católica do Rio Grande do Sul,BR,1
0000-0002-2601-7009,Alessio Malizia,University of Pisa,IT,1
0000-0002-7212-9669,G. Elisabeta Marai,University of Illinois Urbana-Champaign,US,1
0000-0002-9228-7365,Adrian Friday,Lancaster University,GB,1
,Leo Frishberg,Tektronix (United States),US,1
0000-0003-4002-4480,Malak Baslyman,King Fahd University of Petroleum and Minerals,SA,1
0000-0002-4227-5606,Gözde Bozdağı Akar,Middle East Technical University,TR,1
0000-0002-4421-7549,Deepak Ranjan Sahoo,Swansea University,GB,1
0000-0002-5337-0318,Kusuma Ayu Laksitowening,Telkom University,ID,1
0000-0002-5068-1161,Azizah Rahmat,University of Kuala Lumpur,MY,1
0000-0002-7371-8537,Casey Rogers,Curtin University,AU,1
,Michael Przybilski,University of Helsinki,FI,1
0000-0002-2112-1819,Kai Qian,Kennesaw State University,US,1
,L. Dragone,,,1
0000-0002-1159-3767,Andrés Solano,Universidad Autónoma de Occidente,CO,1
0000-0001-7714-9848,Zoran Salčić,University of Auckland,NZ,1
0000-0002-1179-3814,Fata Nidaul Khasanah,Universitas Bhayangkara Jakarta Raya,ID,1
0000-0002-9727-3042,Daniel A. Magües,Universidad Autónoma de Madrid,ES,1
,Enrique Chiroque-Zanabria,Universidad de Ciencias y Humanidades,PE,1
0000-0003-1884-0772,George D. Magoulas,Universidade de São Paulo,BR,1
0000-0001-5869-5245,Irene Garrigós,University of Alicante,ES,1
0000-0002-8685-4909,Hilary Johnson,University of Bath,GB,1
0000-0003-4886-0918,Xuan Lü,University of Michigan–Ann Arbor,US,1
0000-0002-9697-2028,Eliza Stefanova,Sofia University "St. Kliment Ohridski",BG,1
0000-0003-4659-795X,Eleonora Widzyk‐Capehart,Commonwealth Scientific and Industrial Research Organisation,AU,1
0000-0002-3548-299X,Nicola Pasquino,,,1
0000-0003-0717-7450,Naoki Hasegawa,Fujitsu (Japan),JP,1
0000-0001-9387-9277,Luca Mainetti,University of Salento,IT,1
0000-0001-8402-5990,Eva Mayr,Universität für Weiterbildung Krems,AT,1
,Mariano Montoni,Universidade Federal do Rio de Janeiro,BR,1
0000-0002-6405-1750,Abdullah Aldaeej,Imam Abdulrahman Bin Faisal University,SA,1
0000-0001-6548-4403,Zhen Liu,South China University of Technology,CN,1
0000-0001-5235-4423,Florim Hamiti,Fraunhofer Institute for Applied Information Technology,DE,1
0000-0001-6994-4470,Artur Lugmayr,Tampere University,FI,1
,Arianna Coleen T. Ochua,Mapúa University,PH,1
0000-0001-7862-0451,Sofia Segkouli,Centre for Research and Technology Hellas,GR,1
,Dipin Era,,,1
0000-0002-7063-9200,Anh Nguyen‐Duc,University of South-Eastern Norway,NO,1
0000-0002-9236-851X,Shivakumar Sastry,Dr. Hari Singh Gour University,IN,1
0000-0001-7599-6883,Lei Wang,University College Dublin,IE,1
,Abril I. Rodríguez López,Durango Institute of Technology,MX,1
0000-0002-5935-4482,Sílvia D. Olabarriaga,Amsterdam University Medical Centers,NL,1
,Gary Fernandes,Carleton University,CA,1
,John M. Kewley,Daresbury Laboratory,GB,1
0000-0003-2320-1000,Atanas Gotchev,Tampere University of Applied Sciences,FI,1
,Devanshi Ganegoda,Sri Lanka Institute of Information Technology,LK,1
0000-0003-0085-8245,Rachel E. White,Carleton University,CA,1
0000-0001-6337-5596,Mahmoud Darwich,University of Mount Union,US,1
0009-0009-1549-8992,Rahmat Fauzi,Telkom University,ID,1
0000-0003-0048-399X,Joerg Doerr,Universidad de Navarra,ES,1
0000-0001-5190-8025,Arum Prasasti,State University of Malang,ID,1
0000-0002-4830-7306,Rachelle Kristof Hippler,Baldwin–Wallace College,US,1
0000-0002-8552-713X,Christian Kammler,Fraunhofer Institute for Experimental Software Engineering,DE,1
0000-0003-1607-8585,Garyfallos Fragidis,General Hospital of Serres,GR,1
0000-0003-4743-6314,Zoe M. Becerra,Georgia Institute of Technology,US,1
0000-0002-7345-9352,Benjamin Graf,,,1
0000-0002-7938-7564,John W. Castro,University of Atacama,CL,1
0000-0002-2502-5947,Peter Fröhlich,Austrian Institute of Technology,AT,1
0000-0002-5205-7936,Wanqing Guan,University of Science and Technology Beijing,CN,1
,Ma. Gracia Kim A. Brela,Mapúa University,PH,1
,Idit Barak,Shenkar College of Engineering and Design,IL,1
0009-0006-5987-5874,Antonette Gabriel,Mapúa University,PH,1
0000-0003-2744-7331,Amanpreet Kaur,Guru Nanak Dev University,IN,1
,Eduardo Gouveia Pinheiro,Universidade Federal de São Carlos,BR,1
0000-0001-6733-1873,Manlio Bacco,National Research Council,IT,1
,M.T. S.Kom.,Bandung Institute of Technology,ID,1
,Dominik Birkmeier,,,1
0000-0001-8876-3472,Yohannes Kurniawan,Binus University,ID,1
0000-0001-8379-3971,Roselien Buys,KU Leuven,BE,1
,Bella Pertiwi Miller,,,1
0000-0001-6367-9274,Des Greer,Queen's University Belfast,GB,1
,Riccardo Tasso,,,1
,Lijuan Fan,Xi'an Shiyou University,CN,1
,Yukiko Tanikawa,Shibaura Institute of Technology,JP,1
0009-0003-4759-9102,Xinle Liu,Beijing Information Science & Technology University,CN,1
0000-0001-6169-2942,Matthias Jarke,RWTH Aachen University,DE,1
0000-0002-1727-9357,Elena R. Messina,,,1
,Wittawas Pantumchinda,Burapha University,TH,1
0000-0002-3365-1446,Alessio Botta,,,1
,Noel O’Connor,Dublin City University,IE,1
0000-0003-3240-3122,Cleidson R. B. de Souza,Universidade Federal do Pará,BR,1
0000-0003-0161-3485,Juan Garbajosa,Universidad Politécnica de Madrid,ES,1
0000-0002-8560-2662,Torben Volkmann,University of Lübeck,DE,1
,P Sevanthi,,,1
0000-0002-6700-719X,Wajdi Aljedaani,University of North Texas,US,1
,Rongyan Xu,Yangzhou Polytechnic Institute,CN,1
0000-0002-8093-5943,Fabiana Vernero,University of Turin,IT,1
,Natsuko Noda,NEC (Japan),JP,1
0000-0003-3252-9067,Zhiwang Yu,Hunan University,CN,1
,Joris Klerkx,KU Leuven,BE,1
,Andrea Bolioli,,,1
,Mary Margaret Small,Clarkson University,US,1
,Dirk Reichardt,Laboratoire d'Informatique de Paris-Nord,FR,1
,M.L. Metersky,Naval Air Warfare Center Training Systems Division,US,1
0000-0002-0243-1555,Patrick McAllister,University of Ulster,GB,1
,Jerry-Israel Romero-Villalobos,Universidad Veracruzana,MX,1
0000-0002-6870-7059,Ioannis Paliokas,Centre for Research and Technology Hellas,GR,1
,Whitney M. Newton,,,1
0000-0001-7827-8449,Bach Xuan Tran,Dassault Systèmes (United States),US,1
0000-0002-9034-5517,Wenming Liu,Shenyang Jianzhu University,CN,1
0000-0001-7130-996X,Giuliana Vitiello,University of Salerno,IT,1
0000-0002-1078-2232,Raymond Bond,University of Ulster,GB,1
0000-0001-6306-7251,Pere Ponsa,Universitat Politècnica de Catalunya,ES,1
,Daniel L Perez,,,1
0000-0002-0410-9308,Eva-Maria Schön,HAW Hamburg,DE,1
,Karin Siebenhandl,Universität für Weiterbildung Krems,AT,1
,Juan Carlos Farah,École Polytechnique Fédérale de Lausanne,CH,1
,Alifah Amalia Arif,Binus University,ID,1
0000-0001-6868-6860,Qianbin Chen,China Mobile (China),CN,1
,Ronald Gustavo,Binus University,ID,1
0000-0001-9031-3083,Christos Katsanos,Aristotle University of Thessaloniki,GR,1
0000-0002-6732-9164,Khalil Omar,National University of Computer and Emerging Sciences,PK,1
0000-0002-3972-3367,Pavel Boytchev,Sofia University "St. Kliment Ohridski",BG,1
,Marcelo Fassbinder,Instituto Federal de Educação  Ciência e Tecnologia de Minas Gerais,BR,1
0000-0001-8666-7217,Gihan Wikramanayake,University of Colombo,LK,1
0000-0003-3701-6957,Soma Datta,University of Houston - Clear Lake,US,1
0000-0002-4854-3683,Ashok Sivaji,MIMOS (Malaysia),MY,1
0000-0002-7425-5175,Langgeng Setyono,University of Brawijaya,ID,1
,Monica Scbillo,University of Salerno,IT,1
0000-0001-6661-9461,Yuan Wu,City University of Macau,MO,1
0000-0001-8084-4980,Nitish Patkar,University of Bern,CH,1
0000-0001-8342-4471,Carlos A. Velasco,Fraunhofer Institute for Applied Information Technology,DE,1
0000-0003-2714-9131,Zahid Hussain Qaisar,Petra University,JO,1
0000-0002-9751-7035,Obinna Ogbonnia Otuu,Federal Polytechnic Oko,NG,1
0000-0003-0279-0440,Gleison Santos,Universidade Federal do Estado do Rio de Janeiro,BR,1
0000-0002-1903-9517,Leila Alem,Commonwealth Scientific and Industrial Research Organisation,AU,1
0000-0003-2615-422X,Manuel B. Garcia,Korea University,KR,1
,Dennis Pagano,Technical University of Munich,DE,1
,Elena Guidorzi,,,1
0000-0002-1634-6140,Mashail N. Alkhomsan,King Fahd University of Petroleum and Minerals,SA,1
0000-0002-0332-1681,John Panneerselvam,University of Derby,GB,1
,Nicole Jochems,University of Lübeck,DE,1
,Yu-shan Xu,Beihang University,CN,1
0000-0002-0636-5663,Alessio Ferrari,Istituto di Scienza e Tecnologie dell'Informazione "Alessandro Faedo",IT,1
,Saowanee Schou,University of Copenhagen,DK,1
,Pasquale Di,University of Salerno,IT,1
0000-0002-0971-2368,Olfa Mosbahi,National Institute of Applied Science and Technology,TN,1
0000-0001-5873-2528,Satoru Tokuhisa,Kyushu University,JP,1
0000-0002-4743-1815,Charles Thompson,University of Massachusetts Lowell,US,1
,C. Gayle,,,1
0000-0001-7366-5626,Athita Onuean,Burapha University,TH,1
,Kyoko Ohashi,Fujitsu (Japan),JP,1
0000-0003-0157-4447,Ryan Cronk,Engineering Systems (United States),US,1
0000-0002-1016-4522,Tien Fabrianti Kusumasari,Telkom University,ID,1
,Chandana Dongre,PES University,IN,1
,Yani Nurhadryani,IPB University,ID,1
,Juan Lara-Herrera,Universidad de Ciencias y Humanidades,PE,1
,Rohit Hunashikatti,PES University,IN,1
,Kerstin Haustein,Commonwealth Scientific and Industrial Research Organisation,AU,1
0000-0003-0702-5799,Renata Marinello,Fondazione Ricerca Molinette,IT,1
0009-0000-0438-9904,Thanakrit Janchidfah,Muban Chombueng Rajabhat University,TH,1
,Thidarat Pinthong,Phetchaburi Rajabhat University,TH,1
0000-0002-7908-8484,Xuanzhe Liu,Peking University,CN,1
0000-0003-0000-467X,Haleh Vatani,University of Illinois Chicago,US,1
,Fernando Macias Ruvalcaba,Durango Institute of Technology,MX,1
0000-0001-6895-1636,Nelly Bencomo,Durham University,GB,1
0000-0003-2227-8292,Neha Garg,Chitkara University,IN,1
0000-0002-1437-8368,Filippo Sanfilippo,University of Agder,NO,1
,Malte Volkwein,Fraunhofer Institute for Manufacturing Engineering and Automation,DE,1
,Fitra Arifiansyah,Bandung Institute of Technology,ID,1
0000-0002-7633-3536,Alejandra Martínez,Universidad de Costa Rica,CR,1
,Sarah Poon,Lawrence Berkeley National Laboratory,US,1
0009-0005-9323-685X,Nedal Nwasra,Petra University,JO,1
,Jiun-Shiung Lin,Ming Chi University of Technology,TW,1
0000-0002-0019-3020,Karina Luzdelia Mendoza Bravo,Universidad Técnica de Manabí,EC,1
,Naguib Heiba,Fraunhofer Institute for Applied Information Technology,DE,1
0000-0001-8355-6909,Fabio Paternò,Istituto di Scienza e Tecnologie dell'Informazione "Alessandro Faedo",IT,1
0000-0001-8171-8994,Valeria Soto-Mendoza,Universidad Autónoma de Coahuila,MX,1
,Simon André Scherr,Fraunhofer Institute for Experimental Software Engineering,DE,1
0000-0001-9273-966X,Eduarda Almeida,Universidade Federal do Paraná,BR,1
0000-0001-5890-2419,Gitte Lindgaard,Carleton University,CA,1
0000-0003-3198-851X,Usman Rafiq,Free University of Bozen-Bolzano,IT,1
0000-0001-8966-2753,Nobert Jere,Namibia University of Science and Technology,NA,1
,Flavia Belintani Blum Haddad,Universidade Tecnológica Federal do Paraná,BR,1
0000-0001-7050-5328,Luis Romero-Untiveros,Universidad de Ciencias y Humanidades,PE,1
,Steffen Hess,Fraunhofer Institute for Experimental Software Engineering,DE,1
,Erik Duval,KU Leuven,BE,1
0009-0008-2664-2833,Viviane de Oliveira Garcia Coutinho,Universidade Federal de Lavras,BR,1
,Carolin Kohler,Technische Universität Ilmenau,DE,1
,Laura Wiebelitz,Fraunhofer Institute for Manufacturing Engineering and Automation,DE,1
0000-0003-0349-9831,Yerragudipadu Subbarayudu,,,1
0000-0001-7648-8709,Huiru Zheng,University of Ulster,GB,1
,Alex Carmichael,University of Dundee,GB,1
